Freq.	V(N002,N011)
2.57039578276886e-06	(-6.02059991924880e+00dB,-1.38940174006361e-03°)
2.63026799189538e-06	(-6.02059991953012e+00dB,-1.42176506424560e-03°)
2.69153480392691e-06	(-6.02059991982470e+00dB,-1.45488222710051e-03°)
2.75422870333816e-06	(-6.02059992013316e+00dB,-1.48877078778764e-03°)
2.81838293126445e-06	(-6.02059992045615e+00dB,-1.52344871447170e-03°)
2.88403150312660e-06	(-6.02059992079437e+00dB,-1.55893439384979e-03°)
2.95120922666638e-06	(-6.02059992114853e+00dB,-1.59524664090028e-03°)
3.01995172040201e-06	(-6.02059992151938e+00dB,-1.63240470885879e-03°)
3.09029543251359e-06	(-6.02059992190771e+00dB,-1.67042829942645e-03°)
3.16227766016837e-06	(-6.02059992231434e+00dB,-1.70933757321608e-03°)
3.23593656929628e-06	(-6.02059992274013e+00dB,-1.74915316044160e-03°)
3.31131121482591e-06	(-6.02059992318599e+00dB,-1.78989617185643e-03°)
3.38844156139202e-06	(-6.02059992365286e+00dB,-1.83158820994673e-03°)
3.46736850452531e-06	(-6.02059992414174e+00dB,-1.87425138038532e-03°)
3.54813389233575e-06	(-6.02059992465366e+00dB,-1.91790830375242e-03°)
3.63078054770101e-06	(-6.02059992518969e+00dB,-1.96258212752937e-03°)
3.71535229097172e-06	(-6.02059992575100e+00dB,-2.00829653837179e-03°)
3.80189396320561e-06	(-6.02059992633876e+00dB,-2.05507577466851e-03°)
3.89045144994280e-06	(-6.02059992695422e+00dB,-2.10294463939318e-03°)
3.98107170553496e-06	(-6.02059992759868e+00dB,-2.15192851325505e-03°)
4.07380277804112e-06	(-6.02059992827352e+00dB,-2.20205336815627e-03°)
4.16869383470335e-06	(-6.02059992898016e+00dB,-2.25334578096249e-03°)
4.26579518801592e-06	(-6.02059992972010e+00dB,-2.30583294759433e-03°)
4.36515832240165e-06	(-6.02059993049492e+00dB,-2.35954269744701e-03°)
4.46683592150962e-06	(-6.02059993130625e+00dB,-2.41450350814588e-03°)
4.57088189614874e-06	(-6.02059993215582e+00dB,-2.47074452064570e-03°)
4.67735141287197e-06	(-6.02059993304542e+00dB,-2.52829555468152e-03°)
4.78630092322637e-06	(-6.02059993397696e+00dB,-2.58718712457960e-03°)
4.89778819368445e-06	(-6.02059993495239e+00dB,-2.64745045543649e-03°)
5.01187233627271e-06	(-6.02059993597380e+00dB,-2.70911749967503e-03°)
5.12861383991364e-06	(-6.02059993704334e+00dB,-2.77222095398599e-03°)
5.24807460249771e-06	(-6.02059993816329e+00dB,-2.83679427666432e-03°)
5.37031796370251e-06	(-6.02059993933602e+00dB,-2.90287170534923e-03°)
5.49540873857623e-06	(-6.02059994056402e+00dB,-2.97048827517744e-03°)
5.62341325190348e-06	(-6.02059994184990e+00dB,-3.03967983735940e-03°)
5.75439937337155e-06	(-6.02059994319637e+00dB,-3.11048307818804e-03°)
5.88843655355587e-06	(-6.02059994460631e+00dB,-3.18293553849043e-03°)
6.02559586074356e-06	(-6.02059994608269e+00dB,-3.25707563353245e-03°)
6.16595001861481e-06	(-6.02059994762865e+00dB,-3.33294267338715e-03°)
6.30957344480192e-06	(-6.02059994924747e+00dB,-3.41057688377755e-03°)
6.45654229034654e-06	(-6.02059995094258e+00dB,-3.49001942740487e-03°)
6.60693448007594e-06	(-6.02059995271758e+00dB,-3.57131242577366e-03°)
6.76082975391980e-06	(-6.02059995457624e+00dB,-3.65449898152522e-03°)
6.91830970918935e-06	(-6.02059995652249e+00dB,-3.73962320129131e-03°)
7.07945784384136e-06	(-6.02059995856046e+00dB,-3.82673021908014e-03°)
7.24435960074988e-06	(-6.02059996069448e+00dB,-3.91586622020711e-03°)
7.41310241300916e-06	(-6.02059996292907e+00dB,-4.00707846578298e-03°)
7.58577575029182e-06	(-6.02059996526898e+00dB,-4.10041531777247e-03°)
7.76247116628690e-06	(-6.02059996771916e+00dB,-4.19592626463651e-03°)
7.94328234724279e-06	(-6.02059997028482e+00dB,-4.29366194757179e-03°)
8.12830516164097e-06	(-6.02059997297139e+00dB,-4.39367418736157e-03°)
8.31763771102669e-06	(-6.02059997578458e+00dB,-4.49601601185185e-03°)
8.51138038202374e-06	(-6.02059997873035e+00dB,-4.60074168406763e-03°)
8.70963589956078e-06	(-6.02059998181494e+00dB,-4.70790673098400e-03°)
8.91250938133743e-06	(-6.02059998504491e+00dB,-4.81756797296753e-03°)
9.12010839355907e-06	(-6.02059998842711e+00dB,-4.92978355390327e-03°)
9.33254300796988e-06	(-6.02059999196870e+00dB,-5.04461297202373e-03°)
9.54992586021433e-06	(-6.02059999567720e+00dB,-5.16211711145575e-03°)
9.77237220955808e-06	(-6.02059999956048e+00dB,-5.28235827450238e-03°)
9.99999999999997e-06	(-6.02060000362677e+00dB,-5.40540021467658e-03°)
1.02329299228075e-05	(-6.02060000788470e+00dB,-5.53130817050449e-03°)
1.04712854805090e-05	(-6.02060001234330e+00dB,-5.66014890011602e-03°)
1.07151930523760e-05	(-6.02060001701203e+00dB,-5.79199071664125e-03°)
1.09647819614318e-05	(-6.02060002190079e+00dB,-5.92690352443122e-03°)
1.12201845430196e-05	(-6.02060002701995e+00dB,-6.06495885612256e-03°)
1.14815362149688e-05	(-6.02060003238037e+00dB,-6.20622991056540e-03°)
1.17489755493953e-05	(-6.02060003799341e+00dB,-6.35079159163478e-03°)
1.20226443461741e-05	(-6.02060004387099e+00dB,-6.49872054794611e-03°)
1.23026877081238e-05	(-6.02060005002558e+00dB,-6.65009521349575e-03°)
1.25892541179416e-05	(-6.02060005647022e+00dB,-6.80499584924829e-03°)
1.28824955169313e-05	(-6.02060006321858e+00dB,-6.96350458569247e-03°)
1.31825673855640e-05	(-6.02060007028499e+00dB,-7.12570546638845e-03°)
1.34896288259165e-05	(-6.02060007768443e+00dB,-7.29168449252945e-03°)
1.38038426460288e-05	(-6.02060008543259e+00dB,-7.46152966854139e-03°)
1.41253754462275e-05	(-6.02060009354591e+00dB,-7.63533104874467e-03°)
1.44543977074592e-05	(-6.02060010204160e+00dB,-7.81318078510297e-03°)
1.47910838816820e-05	(-6.02060011093768e+00dB,-7.99517317608425e-03°)
1.51356124843620e-05	(-6.02060012025303e+00dB,-8.18140471665992e-03°)
1.54881661891248e-05	(-6.02060013000738e+00dB,-8.37197414946868e-03°)
1.58489319246111e-05	(-6.02060014022145e+00dB,-8.56698251717220e-03°)
1.62181009735892e-05	(-6.02060015091690e+00dB,-8.76653321603032e-03°)
1.65958690743755e-05	(-6.02060016211640e+00dB,-8.97073205072433e-03°)
1.69824365246174e-05	(-6.02060017384372e+00dB,-9.17968729045718e-03°)
1.73780082874937e-05	(-6.02060018612374e+00dB,-9.39350972636064e-03°)
1.77827941003892e-05	(-6.02060019898249e+00dB,-9.61231273023959e-03°)
1.81970085860998e-05	(-6.02060021244726e+00dB,-9.83621231468479e-03°)
1.86208713666286e-05	(-6.02060022654660e+00dB,-1.00653271945860e-02°)
1.90546071796324e-05	(-6.02060024131043e+00dB,-1.02997788500777e-02°)
1.94984459975804e-05	(-6.02060025677005e+00dB,-1.05396915909517e-02°)
1.99526231496887e-05	(-6.02060027295827e+00dB,-1.07851926225696e-02°)
2.04173794466952e-05	(-6.02060028990941e+00dB,-1.10364121133108e-02°)
2.08929613085403e-05	(-6.02060030765943e+00dB,-1.12934832635922e-02°)
2.13796208950222e-05	(-6.02060032624600e+00dB,-1.15565423764950e-02°)
2.18776162394954e-05	(-6.02060034570851e+00dB,-1.18257289300368e-02°)
2.23872113856833e-05	(-6.02060036608828e+00dB,-1.21011856511283e-02°)
2.29086765276776e-05	(-6.02060038742851e+00dB,-1.23830585912513e-02°)
2.34422881531991e-05	(-6.02060040977447e+00dB,-1.26714972039006e-02°)
2.39883291901948e-05	(-6.02060043317358e+00dB,-1.29666544238299e-02°)
2.45470891568502e-05	(-6.02060045767545e+00dB,-1.32686867481435e-02°)
2.51188643150957e-05	(-6.02060048333206e+00dB,-1.35777543192767e-02°)
2.57039578276885e-05	(-6.02060051019783e+00dB,-1.38940210099106e-02°)
2.63026799189537e-05	(-6.02060053832975e+00dB,-1.42176545098633e-02°)
2.69153480392690e-05	(-6.02060056778748e+00dB,-1.45488264150067e-02°)
2.75422870333815e-05	(-6.02060059863352e+00dB,-1.48877123182541e-02°)
2.81838293126444e-05	(-6.02060063093330e+00dB,-1.52344919026674e-02°)
2.88403150312659e-05	(-6.02060066475532e+00dB,-1.55893490367336e-02°)
2.95120922666637e-05	(-6.02060070017132e+00dB,-1.59524718718609e-02°)
3.01995172040200e-05	(-6.02060073725644e+00dB,-1.63240529421458e-02°)
3.09029543251358e-05	(-6.02060077608932e+00dB,-1.67042892664648e-02°)
3.16227766016836e-05	(-6.02060081675235e+00dB,-1.70933824529446e-02°)
3.23593656929627e-05	(-6.02060085933178e+00dB,-1.74915388058656e-02°)
3.31131121482589e-05	(-6.02060090391792e+00dB,-1.78989694350566e-02°)
3.38844156139201e-05	(-6.02060095060535e+00dB,-1.83158903678378e-02°)
3.46736850452530e-05	(-6.02060099949309e+00dB,-1.87425226635718e-02°)
3.54813389233574e-05	(-6.02060105068485e+00dB,-1.91790925308837e-02°)
3.63078054770100e-05	(-6.02060110428922e+00dB,-1.96258314476118e-02°)
3.71535229097171e-05	(-6.02060116041989e+00dB,-2.00829762835531e-02°)
3.80189396320559e-05	(-6.02060121919593e+00dB,-2.05507694260691e-02°)
3.89045144994279e-05	(-6.02060128074201e+00dB,-2.10294589086172e-02°)
3.98107170553495e-05	(-6.02060134518869e+00dB,-2.15192985422776e-02°)
4.07380277804111e-05	(-6.02060141267265e+00dB,-2.20205480503443e-02°)
4.16869383470333e-05	(-6.02060148333706e+00dB,-2.25334732060519e-02°)
4.26579518801590e-05	(-6.02060155733179e+00dB,-2.30583459735122e-02°)
4.36515832240164e-05	(-6.02060163481381e+00dB,-2.35954446519338e-02°)
4.46683592150961e-05	(-6.02060171594746e+00dB,-2.41450540232026e-02°)
4.57088189614873e-05	(-6.02060180090485e+00dB,-2.47074655029012e-02°)
4.67735141287196e-05	(-6.02060188986619e+00dB,-2.52829772948472e-02°)
4.78630092322636e-05	(-6.02060198302017e+00dB,-2.58718945492324e-02°)
4.89778819368444e-05	(-6.02060208056440e+00dB,-2.64745295244471e-02°)
5.01187233627270e-05	(-6.02060218270577e+00dB,-2.70912017526756e-02°)
5.12861383991362e-05	(-6.02060228966096e+00dB,-2.77222382093507e-02°)
5.24807460249770e-05	(-6.02060240165684e+00dB,-2.83679734865563e-02°)
5.37031796370250e-05	(-6.02060251893096e+00dB,-2.90287499704725e-02°)
5.49540873857622e-05	(-6.02060264173209e+00dB,-2.97049180229547e-02°)
5.62341325190346e-05	(-6.02060277032072e+00dB,-3.03968361673450e-02°)
5.75439937337154e-05	(-6.02060290496960e+00dB,-3.11048712786147e-02°)
5.88843655355586e-05	(-6.02060304596435e+00dB,-3.18293987779374e-02°)
6.02559586074354e-05	(-6.02060319360406e+00dB,-3.25708028317978e-02°)
6.16595001861479e-05	(-6.02060334820188e+00dB,-3.33294765557410e-02°)
6.30957344480190e-05	(-6.02060351008577e+00dB,-3.41058222228712e-02°)
6.45654229034652e-05	(-6.02060367959910e+00dB,-3.49002514772102e-02°)
6.60693448007592e-05	(-6.02060385710146e+00dB,-3.57131855520294e-02°)
6.76082975391978e-05	(-6.02060404296936e+00dB,-3.65450554932713e-02°)
6.91830970918932e-05	(-6.02060423759706e+00dB,-3.73963023881797e-02°)
7.07945784384134e-05	(-6.02060444139743e+00dB,-3.82673775992596e-02°)
7.24435960074986e-05	(-6.02060465480276e+00dB,-3.91587430036913e-02°)
7.41310241300913e-05	(-6.02060487826574e+00dB,-4.00708712383274e-02°)
7.58577575029179e-05	(-6.02060511226039e+00dB,-4.10042459504013e-02°)
7.76247116628687e-05	(-6.02060535728307e+00dB,-4.19593620540812e-02°)
7.94328234724277e-05	(-6.02060561385353e+00dB,-4.29367259930072e-02°)
8.12830516164094e-05	(-6.02060588251602e+00dB,-4.39368560089502e-02°)
8.31763771102666e-05	(-6.02060616384044e+00dB,-4.49602824167359e-02°)
8.51138038202371e-05	(-6.02060645842356e+00dB,-4.60075478855806e-02°)
8.70963589956075e-05	(-6.02060676689028e+00dB,-4.70792077269887e-02°)
8.91250938133740e-05	(-6.02060708989493e+00dB,-4.81758301893650e-02°)
9.12010839355904e-05	(-6.02060742812269e+00dB,-4.92979967594998e-02°)
9.33254300796985e-05	(-6.02060778229106e+00dB,-5.04463024710855e-02°)
9.54992586021430e-05	(-6.02060815315132e+00dB,-5.16213562204324e-02°)
9.77237220955804e-05	(-6.02060854149019e+00dB,-5.28237810895490e-02°)
9.99999999999994e-05	(-6.02060894813145e+00dB,-5.40542146767612e-02°)
1.02329299228075e-04	(-6.02060937393773e+00dB,-5.53133094350464e-02°)
1.04712854805089e-04	(-6.02060981981229e+00dB,-5.66017330182628e-02°)
1.07151930523760e-04	(-6.02061028670100e+00dB,-5.79201686354594e-02°)
1.09647819614318e-04	(-6.02061077559429e+00dB,-5.92693154134557e-02°)
1.12201845430196e-04	(-6.02061128752928e+00dB,-6.06498887678851e-02°)
1.14815362149688e-04	(-6.02061182359197e+00dB,-6.20626207829003e-02°)
1.17489755493952e-04	(-6.02061238491957e+00dB,-6.35082605997442e-02°)
1.20226443461741e-04	(-6.02061297270286e+00dB,-6.49875748143935e-02°)
1.23026877081237e-04	(-6.02061358818878e+00dB,-6.65013478844890e-02°)
1.25892541179416e-04	(-6.02061423268304e+00dB,-6.80503825457699e-02°)
1.28824955169313e-04	(-6.02061490755288e+00dB,-6.96355002382350e-02°)
1.31825673855640e-04	(-6.02061561423001e+00dB,-7.12575415422606e-02°)
1.34896288259164e-04	(-6.02061635421363e+00dB,-7.29173666249076e-02°)
1.38038426460288e-04	(-6.02061712907358e+00dB,-7.46158556966588e-02°)
1.41253754462274e-04	(-6.02061794045375e+00dB,-7.63539094788300e-02°)
1.44543977074592e-04	(-6.02061879007547e+00dB,-7.81324496819083e-02°)
1.47910838816820e-04	(-6.02061967974126e+00dB,-7.99524194950732e-02°)
1.51356124843620e-04	(-6.02062061133857e+00dB,-8.18147840871645e-02°)
1.54881661891247e-04	(-6.02062158684387e+00dB,-8.37205311193663e-02°)
1.58489319246110e-04	(-6.02062260832677e+00dB,-8.56706712698856e-02°)
1.62181009735892e-04	(-6.02062367795448e+00dB,-8.76662387709046e-02°)
1.65958690743755e-04	(-6.02062479799633e+00dB,-8.97082919581003e-02°)
1.69824365246173e-04	(-6.02062597082869e+00dB,-9.17979138330261e-02°)
1.73780082874936e-04	(-6.02062719893994e+00dB,-9.39362126386604e-02°)
1.77827941003891e-04	(-6.02062848493577e+00dB,-9.61243224484333e-02°)
1.81970085860997e-04	(-6.02062983154472e+00dB,-9.83634037690506e-02°)
1.86208713666285e-04	(-6.02063124162398e+00dB,-1.00654644157442e-01°)
1.90546071796323e-04	(-6.02063271816545e+00dB,-1.02999258852168e-01°)
1.94984459975803e-04	(-6.02063426430210e+00dB,-1.05398491419632e-01°)
1.99526231496887e-04	(-6.02063588331461e+00dB,-1.07853614415438e-01°)
2.04173794466951e-04	(-6.02063757863835e+00dB,-1.10365930061277e-01°)
2.08929613085402e-04	(-6.02063935387068e+00dB,-1.12936770937678e-01°)
2.13796208950222e-04	(-6.02064121277857e+00dB,-1.15567500693038e-01°)
2.18776162394954e-04	(-6.02064315930665e+00dB,-1.18259514769289e-01°)
2.23872113856832e-04	(-6.02064519758554e+00dB,-1.21014241144621e-01°)
2.29086765276776e-04	(-6.02064733194065e+00dB,-1.23833141093647e-01°)
2.34422881531990e-04	(-6.02064956690136e+00dB,-1.26717709965455e-01°)
2.39883291901947e-04	(-6.02065190721067e+00dB,-1.29669477979946e-01°)
2.45470891568501e-04	(-6.02065435783525e+00dB,-1.32690011042920e-01°)
2.51188643150956e-04	(-6.02065692397603e+00dB,-1.35780911580342e-01°)
2.57039578276884e-04	(-6.02065961107922e+00dB,-1.38943819392268e-01°)
2.63026799189536e-04	(-6.02066242484790e+00dB,-1.42180412526886e-01°)
2.69153480392689e-04	(-6.02066537125419e+00dB,-1.45492408175170e-01°)
2.75422870333815e-04	(-6.02066845655185e+00dB,-1.48881563586638e-01°)
2.81838293126443e-04	(-6.02067168728969e+00dB,-1.52349677006732e-01°)
2.88403150312658e-04	(-6.02067507032543e+00dB,-1.55898588636330e-01°)
2.95120922666636e-04	(-6.02067861284030e+00dB,-1.59530181613951e-01°)
3.01995172040199e-04	(-6.02068232235434e+00dB,-1.63246383021178e-01°)
3.09029543251357e-04	(-6.02068620674236e+00dB,-1.67049164911883e-01°)
3.16227766016835e-04	(-6.02069027425076e+00dB,-1.70940545365835e-01°)
3.23593656929626e-04	(-6.02069453351502e+00dB,-1.74922589567275e-01°)
3.31131121482588e-04	(-6.02069899357811e+00dB,-1.78997410909086e-01°)
3.38844156139200e-04	(-6.02070366390974e+00dB,-1.83167172123177e-01°)
3.46736850452529e-04	(-6.02070855442654e+00dB,-1.87434086437731e-01°)
3.54813389233573e-04	(-6.02071367551316e+00dB,-1.91800418761982e-01°)
3.63078054770098e-04	(-6.02071903804440e+00dB,-1.96268486899201e-01°)
3.71535229097170e-04	(-6.02072465340840e+00dB,-2.00840662788592e-01°)
3.80189396320558e-04	(-6.02073053353085e+00dB,-2.05519373776820e-01°)
3.89045144994277e-04	(-6.02073669090051e+00dB,-2.10307103919909e-01°)
3.98107170553494e-04	(-6.02074313859574e+00dB,-2.15206395316276e-01°)
4.07380277804109e-04	(-6.02074989031245e+00dB,-2.20219849471678e-01°)
4.16869383470332e-04	(-6.02075696039331e+00dB,-2.25350128696881e-01°)
4.26579518801589e-04	(-6.02076436385832e+00dB,-2.30599957538879e-01°)
4.36515832240162e-04	(-6.02077211643692e+00dB,-2.35972124246515e-01°)
4.46683592150959e-04	(-6.02078023460152e+00dB,-2.41469482271384e-01°)
4.57088189614871e-04	(-6.02078873560273e+00dB,-2.47094951804915e-01°)
4.67735141287194e-04	(-6.02079763750617e+00dB,-2.52851521352569e-01°)
4.78630092322634e-04	(-6.02080695923111e+00dB,-2.58742249346111e-01°)
4.89778819368442e-04	(-6.02081672059089e+00dB,-2.64770265794938e-01°)
5.01187233627268e-04	(-6.02082694233531e+00dB,-2.70938773977479e-01°)
5.12861383991360e-04	(-6.02083764619501e+00dB,-2.77251052173734e-01°)
5.24807460249768e-04	(-6.02084885492800e+00dB,-2.83710455440004e-01°)
5.37031796370248e-04	(-6.02086059236836e+00dB,-2.90320417426953e-01°)
5.49540873857620e-04	(-6.02087288347733e+00dB,-2.97084452242142e-01°)
5.62341325190344e-04	(-6.02088575439677e+00dB,-3.04006156358219e-01°)
5.75439937337152e-04	(-6.02089923250522e+00dB,-3.11089210568005e-01°)
5.88843655355584e-04	(-6.02091334647668e+00dB,-3.18337381987728e-01°)
6.02559586074352e-04	(-6.02092812634206e+00dB,-3.25754526109723e-01°)
6.16595001861477e-04	(-6.02094360355379e+00dB,-3.33344588905946e-01°)
6.30957344480188e-04	(-6.02095981105328e+00dB,-3.41111608983706e-01°)
6.45654229034650e-04	(-6.02097678334188e+00dB,-3.49059719795056e-01°)
6.60693448007590e-04	(-6.02099455655498e+00dB,-3.57193151901338e-01°)
6.76082975391976e-04	(-6.02101316853989e+00dB,-3.65516235294440e-01°)
6.91830970918930e-04	(-6.02103265893736e+00dB,-3.74033401776363e-01°)
7.07945784384132e-04	(-6.02105306926702e+00dB,-3.82749187398753e-01°)
7.24435960074984e-04	(-6.02107444301700e+00dB,-3.91668234964141e-01°)
7.41310241300911e-04	(-6.02109682573778e+00dB,-4.00795296590648e-01°)
7.58577575029177e-04	(-6.02112026514068e+00dB,-4.10135236342035e-01°)
7.76247116628685e-04	(-6.02114481120104e+00dB,-4.19693032925002e-01°)
7.94328234724274e-04	(-6.02117051626641e+00dB,-4.29473782455735e-01°)
8.12830516164092e-04	(-6.02119743516999e+00dB,-4.39482701297779e-01°)
8.31763771102663e-04	(-6.02122562534956e+00dB,-4.49725128973386e-01°)
8.51138038202369e-04	(-6.02125514697223e+00dB,-4.60206531150577e-01°)
8.70963589956073e-04	(-6.02128606306521e+00dB,-4.70932502708256e-01°)
8.91250938133737e-04	(-6.02131843965296e+00dB,-4.81908770881779e-01°)
9.12010839355901e-04	(-6.02135234590107e+00dB,-4.93141198491530e-01°)
9.33254300796982e-04	(-6.02138785426715e+00dB,-5.04635787257109e-01°)
9.54992586021427e-04	(-6.02142504065908e+00dB,-5.16398681199889e-01°)
9.77237220955802e-04	(-6.02146398460108e+00dB,-5.28436170136788e-01°)
9.99999999999991e-04	(-6.02150476940787e+00dB,-5.40754693268238e-01°)
1.02329299228074e-03	(-6.02154748236748e+00dB,-5.53360842863482e-01°)
1.04712854805089e-03	(-6.02159221493300e+00dB,-5.66261368046415e-01°)
1.07151930523760e-03	(-6.02163906292385e+00dB,-5.79463178685399e-01°)
1.09647819614317e-03	(-6.02168812673704e+00dB,-5.92973349390584e-01°)
1.12201845430195e-03	(-6.02173951156880e+00dB,-6.06799123622452e-01°)
1.14815362149687e-03	(-6.02179332764742e+00dB,-6.20947917915484e-01°)
1.17489755493952e-03	(-6.02184969047753e+00dB,-6.35427326221002e-01°)
1.20226443461740e-03	(-6.02190872109668e+00dB,-6.50245124373471e-01°)
1.23026877081237e-03	(-6.02197054634474e+00dB,-6.65409274684724e-01°)
1.25892541179415e-03	(-6.02203529914689e+00dB,-6.80927930670797e-01°)
1.28824955169312e-03	(-6.02210311881079e+00dB,-6.96809441916312e-01°)
1.31825673855639e-03	(-6.02217415133884e+00dB,-7.13062359081556e-01°)
1.34896288259164e-03	(-6.02224854975624e+00dB,-7.29695439057709e-01°)
1.38038426460287e-03	(-6.02232647445571e+00dB,-7.46717650275909e-01°)
1.41253754462274e-03	(-6.02240809355983e+00dB,-7.64138178176173e-01°)
1.44543977074591e-03	(-6.02249358330192e+00dB,-7.81966430842472e-01°)
1.47910838816819e-03	(-6.02258312842647e+00dB,-8.00212044810636e-01°)
1.51356124843619e-03	(-6.02267692261021e+00dB,-8.18884891056053e-01°)
1.54881661891247e-03	(-6.02277516890501e+00dB,-8.37995081168591e-01°)
1.58489319246110e-03	(-6.02287808020372e+00dB,-8.57552973722473e-01°)
1.62181009735891e-03	(-6.02298587973037e+00dB,-8.77569180849354e-01°)
1.65958690743754e-03	(-6.02309880155606e+00dB,-8.98054575023232e-01°)
1.69824365246173e-03	(-6.02321709114189e+00dB,-9.19020296066362e-01°)
1.73780082874936e-03	(-6.02334100591072e+00dB,-9.40477758385806e-01°)
1.77827941003890e-03	(-6.02347081584916e+00dB,-9.62438658450853e-01°)
1.81970085860996e-03	(-6.02360680414178e+00dB,-9.84914982522087e-01°)
1.86208713666285e-03	(-6.02374926783928e+00dB,-1.00791901464352e+00°)
1.90546071796323e-03	(-6.02389851856266e+00dB,-1.03146334490990e+00°)
1.94984459975803e-03	(-6.02405488324557e+00dB,-1.05556087802188e+00°)
1.99526231496886e-03	(-6.02421870491712e+00dB,-1.08022484214279e+00°)
2.04173794466951e-03	(-6.02439034352751e+00dB,-1.10546879807113e+00°)
2.08929613085402e-03	(-6.02457017681926e+00dB,-1.13130664874414e+00°)
2.13796208950221e-03	(-6.02475860124672e+00dB,-1.15775264908857e+00°)
2.18776162394953e-03	(-6.02495603294678e+00dB,-1.18482141623568e+00°)
2.23872113856832e-03	(-6.02516290876429e+00dB,-1.21252794011867e+00°)
2.29086765276775e-03	(-6.02537968733524e+00dB,-1.24088759447177e+00°)
2.34422881531990e-03	(-6.02560685023170e+00dB,-1.26991614825153e+00°)
2.39883291901946e-03	(-6.02584490317230e+00dB,-1.29962977750189e+00°)
2.45470891568500e-03	(-6.02609437730267e+00dB,-1.33004507768626e+00°)
2.51188643150955e-03	(-6.02635583055018e+00dB,-1.36117907651099e+00°)
2.57039578276884e-03	(-6.02662984905817e+00dB,-1.39304924726644e+00°)
2.63026799189535e-03	(-6.02691704870474e+00dB,-1.42567352271329e+00°)
2.69153480392689e-03	(-6.02721807671199e+00dB,-1.45907030954357e+00°)
2.75422870333814e-03	(-6.02753361335175e+00dB,-1.49325850344783e+00°)
2.81838293126442e-03	(-6.02786437375443e+00dB,-1.52825750482180e+00°)
2.88403150312657e-03	(-6.02821110982823e+00dB,-1.56408723514804e+00°)
2.95120922666635e-03	(-6.02857461229647e+00dB,-1.60076815409039e+00°)
3.01995172040198e-03	(-6.02895571286127e+00dB,-1.63832127734153e+00°)
